date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-03-08,_WORLD,2183062,374617,88002,1720443,1699346,43579,2139483,108434,44470,69214,0.2908,57357,0,2219,106215,307,8291,26706,7576,1590,0.19673622980472816,0.19377788869032556,0.13321311656305296,0.22195781801147457,0.3034629708884619,0.22241491437242575,0.30701671007356995,,109341,3949,3797,239,389834,29015,,,
2020-03-09,_WORLD,2273872,437859,92733,1743280,1764668,59754,2214118,98416,41710,91840,0.2977,79496,0,3560,94856,395,1124,30681,8285,1225,0.1906950595197416,0.19111725152880715,0.09526188438695392,0.20226188737128742,0.318135870528038,0.2633587786259542,0.320967087886194,-0.0465,113513,4172,3987,190,422925,32466,,,
2020-03-10,_WORLD,2324776,421978,83645,1819153,1795211,55707,2269069,100642,37135,87560,0.2695,76240,0,2764,97878,380,949,27141,7679,986,0.18706846302933924,0.18286656435905121,0.09135615124625061,0.229517947640631,0.278649728511423,0.24384615384615385,0.2800981752214278,0.0018,118335,4822,4261,274,532751,41394,,,
2020-03-11,_WORLD,2293314,436828,82280,1774206,1762494,58786,2234528,112752,39638,85465,0.2601,73086,0,2079,110673,558,4083,28456,5767,774,0.2259735161435457,0.2355781557782797,0.120100335728417,0.20525617870763935,0.27020996780191375,0.2079758868536981,0.2727435766740292,-0.0213,125996,7661,4604,343,535535,51045,,,
2020-03-12,_WORLD,2352317,415402,71495,1865420,1801624,50478,2301838,100639,31480,79480,0.2383,68965,0,1676,98963,384,536,25590,4414,556,0.1842097738547921,0.20223519567133208,0.07065525473140909,0.1466487990623786,0.24031142933344274,0.204126213592233,0.24190818927661034,-0.0685,131786,5790,4910,306,379089,58824,,,
2020-03-13,_WORLD,2374171,385263,67998,1920910,1836461,47188,2326983,94090,37198,102247,0.2833,92717,0,5747,88343,166,748,26758,8675,851,0.2526031549363279,0.24130830313643575,0.07482575165889005,0.3264885382933353,0.29081445939901596,0.23626653102746695,0.2930855569673867,0.0139,146170,14384,5407,497,643518,49547,,,
2020-03-14,_WORLD,2284496,346382,67380,1870734,1733083,36553,2247943,86584,29490,74224,0.2541,63512,0,2820,83764,118,849,20601,7349,573,0.238612637180164,0.21756609707148225,0.2579158884650209,0.30676577247996006,0.2557885944967751,0.21870047543581617,0.2574922953723701,,157244,11074,5827,420,586865,68078,,,
2020-03-15,_WORLD,2196217,296855,78972,1820390,1608159,42541,2153676,66109,22047,53926,0.2501,37111,0,2519,63590,82,442,16677,4170,676,0.25844701432039774,0.24059708480105255,0.14639277162976821,0.3606785484188586,0.25611988983428985,0.21991178323881538,0.25797893851404907,,168513,11269,6463,636,789321,66793,,,
2020-03-16,_WORLD,2316638,398754,71501,1846383,1753599,52020,2264618,92391,38067,63488,0.2918,50054,0,1852,90539,144,770,31569,4879,705,0.19234459567618525,0.19574279966813632,0.08427340856883357,0.1921634102083079,0.30571501401988277,0.21698906644238855,0.3090637829601727,-0.0403,183321,14808,7146,683,938866,95310,,,
2020-03-17,_WORLD,2345313,407418,72452,1865443,1792493,53204,2292109,97621,38296,72825,0.2818,59339,0,1953,95668,233,834,28778,7579,872,0.17783228459710881,0.18040481251290963,0.08771326272218986,0.18049839106125917,0.2885634890916616,0.22248062015503875,0.2911834610498709,0.0018,199264,15943,7959,813,873957,118241,,,
2020-03-18,_WORLD,2318949,405660,75819,1837470,1753358,53748,2265201,99882,32843,78348,0.2475,64590,0,2821,97061,128,1412,24225,6185,893,0.2516319920407238,0.26053134975629066,0.15334616774066367,0.23473895913961276,0.2512327007541228,0.22237729704582462,0.25257759901124277,-0.0347,218823,19559,8865,906,912034,133192,,,
2020-03-19,_WORLD,2319202,397432,73979,1847791,1762614,53503,2265699,89631,37121,77717,0.2929,63867,0,2132,87499,362,1241,27851,7020,647,0.2599665144227877,0.2669200039209584,0.07641608709282567,0.2575152091767552,0.30182896796296094,0.2633096716947649,0.3038282194462034,0.0023,245872,27049,9976,1111,1475515,168204,,,
2020-03-20,_WORLD,2318107,393707,75744,1848656,1792036,54961,2263146,94743,67598,70626,0.4164,57288,0,2725,92018,261,2197,56966,7514,660,0.22597188542203586,0.20998501611276393,0.08405697196240228,0.30831028737330174,0.45369333398256806,0.3115862971852498,0.4591828993838451,0.0093,276647,30775,11462,1486,1591670,186948,,,
2020-03-21,_WORLD,2295079,364760,77875,1852444,1735369,42628,2252450,97255,44877,54684,0.3157,40944,0,3208,94047,121,2117,34247,7484,908,0.30701022200863587,0.30281487116297245,0.7689010420019828,0.21738583129212966,0.33394967290202077,0.22086284610431423,0.3391209610930077,,308638,31991,13183,1721,1844123,188740,,,
2020-03-22,_WORLD,2872696,441618,109400,2321678,2214265,58881,2813815,99768,47372,68137,0.322,52092,0,3382,96386,101,1534,33475,9630,2632,0.30102270659375796,0.28671911072394196,0.25702023437027477,0.3781111260317823,0.3310190267105745,0.27562862669245647,0.33376860297647626,,343493,34855,14861,1678,2568843,153263,,,
2020-03-23,_WORLD,2293646,404452,81091,1808103,1766918,54856,2238789,97798,40818,80007,0.2945,58298,0,2043,95755,161,1460,27736,9095,2366,0.23275793518151805,0.23701891762066535,0.04099085017429586,0.2609492467257357,0.3025811245974734,0.25233229675699687,0.30492724764838264,-0.0166,386328,42835,16809,1948,2269438,214604,,,
2020-03-24,_WORLD,2286981,413291,84893,1788797,1780782,58694,2228287,101610,43701,78613,0.3007,61765,0,1692,99918,211,1458,30113,10966,953,0.26316008327334633,0.25980864815428684,0.13879848699222488,0.29611248908790827,0.3099859459870095,0.25522180226775415,0.31273122525702773,0.0421,427507,41179,19095,2286,2456021,231891,,,
2020-03-25,_WORLD,2344324,445409,90218,1808697,1823791,65676,2278648,113774,48789,89466,0.3001,72202,0,1737,112037,539,2660,33594,10951,1045,0.2410770400550032,0.23487200594503663,0.22847207809482117,0.2703548076188432,0.30923864705933146,0.27760127084988084,0.31067698224264473,0.0247,478508,51001,21902,2807,2723824,262729,,,
2020-03-26,_WORLD,2327553,444626,91667,1791260,1823753,65882,2261671,132304,43491,77098,0.2474,60275,0,2262,130042,221,1258,31396,9481,1135,0.243927627842056,0.2447849594455712,0.1091240884123865,0.2559056959730593,0.2468093093093093,0.23593304843304844,0.24730892553330716,0.0247,541385,62877,24935,3033,2866808,288499,,,
2020-03-27,_WORLD,2342600,457270,93319,1792011,1819488,63257,2279343,126563,47226,80875,0.2717,64265,0,2148,124415,145,1491,35526,9034,1030,0.2530243845513195,0.25693155435304027,0.12938831962302283,0.2601344507745018,0.27803912454620494,0.25247343349212165,0.2792085348172607,-0.021,606426,65041,28419,3484,3414810,329268,,,
2020-03-28,_WORLD,2320555,394656,94347,1831552,1801909,46989,2273566,116279,39246,72715,0.2523,57942,0,1777,114502,162,1200,25452,11033,1399,0.22554317061072215,0.2265953157490966,0.07694197968736004,0.2372331521887508,0.251106671712327,0.25995048562178635,0.2506781819188396,,673704,67278,32144,3725,3689186,292099,,,
2020-03-29,_WORLD,2372966,395801,97902,1879263,1852409,50263,2322703,102442,40481,66483,0.2832,48076,0,2136,100306,139,2566,26091,10392,1293,0.2149827869072553,0.20803552484830914,0.09834391164690555,0.255566002642843,0.29010984684436397,0.2719911667280088,0.29113371186123416,,732941,59237,35648,3504,4746188,314063,,,
