date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_tweets_verified,info_tweets_unverified,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_iri,info_iri_T,info_iri_RE,info_iri_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new,epi_rt,epi_rt_low90,epi_rt_high90
2020-12-01,TUR,21194,7581,1650,11963,16673,480,20714,208,307,485,0.5961,402,0,17,191,0,216,37,51,3,0.205,0.1395,0.9681,0.2019,0.6655,0.55,0.6741,,668957.0,30110.0,13936.0,190.0,18772604.0,180312.0,,,
2020-12-02,TUR,20977,7310,1798,11869,17162,491,20486,473,75,255,0.1369,168,0,21,452,1,8,45,10,11,0.2464,0.304,0.0181,0.183,0.1319,0.3182,0.1184,,700880.0,31923.0,14129.0,193.0,18956228.0,183624.0,,,
2020-12-03,TUR,20685,6583,1820,12282,17086,526,20159,310,60,350,0.1622,232,0,12,298,3,2,36,6,13,0.2341,0.3093,0.5474,0.0456,0.1213,0.5,0.0751,,733261.0,32381.0,14316.0,187.0,19143746.0,187518.0,,,
2020-12-04,TUR,18388,6234,1610,10544,15110,408,17980,179,54,274,0.2318,213,0,10,169,0,2,34,6,12,0.384,0.4331,0.4843,0.172,0.3023,0.6667,0.265,,765997.0,32736.0,14509.0,193.0,19338181.0,194435.0,,,
2020-12-05,TUR,16664,5589,1531,9544,13785,277,16387,174,52,211,0.2301,136,0,12,162,0,2,34,8,8,0.2991,0.3905,0.0089,0.1862,0.2174,0.2,0.2222,,797893.0,31896.0,14705.0,196.0,19517084.0,178903.0,,,
2020-12-06,TUR,17566,5816,1478,10272,14508,262,17304,197,39,248,0.1653,164,0,8,189,0,3,20,4,12,0.0464,0.0328,0.0125,0.1531,0.184,0.2,0.1818,,828295.0,30402.0,14900.0,195.0,19691845.0,174761.0,,,
2020-12-07,TUR,16055,5684,1206,9165,12265,358,15697,158,237,189,0.6,132,0,16,142,0,131,30,65,11,0.2359,0.5102,0.4112,0.0773,0.586,0.7333,0.5577,,860432.0,32137.0,15103.0,203.0,19888747.0,196902.0,,,
2020-12-08,TUR,17426,5783,1166,10477,13450,369,17057,239,82,267,0.2555,205,0,10,229,1,12,45,12,12,0.0876,0.0784,0.2157,0.0927,0.3125,0.4688,0.2812,,893630.0,33198.0,15314.0,211.0,20089966.0,201219.0,,,
2020-12-09,TUR,15929,5573,1187,9169,12356,340,15589,211,115,253,0.3528,169,0,21,190,0,7,87,11,10,0.216,0.2582,0.0132,0.2542,0.427,0.4,0.4303,,925342.0,31712.0,15531.0,217.0,20294377.0,204411.0,,,
2020-12-10,TUR,19372,6957,1636,10779,15960,411,18961,490,46,383,0.0858,288,0,15,475,0,5,25,12,4,0.1726,0.1993,0.0404,0.1139,0.1228,0.35,0.101,,1748567.0,,15751.0,220.0,20500579.0,206202.0,,,
2020-12-11,TUR,16163,5271,1182,9710,13295,347,15816,166,61,257,0.2687,147,0,9,157,0,2,20,15,24,0.2272,0.241,0.4137,0.1008,0.3565,0.3077,0.3627,,1780673.0,32106.0,15977.0,226.0,20709452.0,208873.0,,,
2020-12-12,TUR,17834,4977,1743,11114,13647,226,17608,144,57,191,0.2836,122,0,17,127,0,5,21,10,21,0.0825,0.0585,0.1355,0.1976,0.3162,0.4167,0.3048,,1809809.0,29136.0,16199.0,222.0,20898517.0,189065.0,,,
2020-12-13,TUR,13710,4511,1294,7905,10949,272,13438,233,32,189,0.1208,109,0,5,228,0,3,15,6,8,0.1547,0.0486,0.0062,0.213,0.1171,0.1429,0.1162,,1836728.0,26919.0,16417.0,218.0,21079716.0,181199.0,,,
2020-12-14,TUR,14986,4842,1057,9087,11782,311,14675,291,39,401,0.1182,286,0,19,272,0,1,22,10,6,0.2399,0.2653,0.3796,0.1899,0.1722,0.3333,0.1695,,1866345.0,29617.0,16646.0,229.0,21284005.0,204289.0,,,
2020-12-15,TUR,13711,4254,987,8470,10684,339,13372,189,45,247,0.1923,198,0,9,180,0,0,28,6,11,0.2001,0.0981,0.9116,0.2235,0.2075,0.1667,0.2092,,1898447.0,32102.0,16881.0,235.0,21490195.0,206190.0,,,
2020-12-16,TUR,15771,5334,1043,9394,12291,325,15446,275,52,240,0.159,137,0,24,251,0,11,30,5,6,0.0836,0.0684,0.0379,0.1079,0.1744,0.2857,0.1702,,1928165.0,29718.0,17121.0,240.0,21695592.0,205397.0,,,
